idnum,ED_NAMEE,ED_NAMEF,POPULATION,Region,canada338,PollCloseEST,result
10001,Avalon,Avalon,86494,,LPC safe,7:00pm,LPC
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,74116,,LPC safe,7:00pm,LPC
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,77680,,LPC safe,7:00pm,LPC
10004,Labrador,Labrador,27197,,LPC likely,6:30pm,LPC
10005,Long Range Mountains,Long Range Mountains,86553,,LPC safe,7:00pm,LPC
10006,St. John's East,St. John's-Est,85697,STJ,NDP leaning,7:00pm,NDP
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,81979,STJ,LPC safe,7:00pm,LPC
11001,Cardigan,Cardigan,36615,,LPC safe,7:30pm,LPC
11002,Charlottetown,Charlottetown,36094,,LPC safe,7:30pm,LPC
11003,Egmont,Egmont,34168,,LPC likely,7:30pm,LPC
11004,Malpeque,Malpeque,36030,,LPC safe,7:30pm,LPC
12001,Cape Breton--Canso,Cape Breton--Canso,71913,,LPC likely,7:30pm,
12002,Central Nova,Nova-Centre,71962,,LPC likely,7:30pm,LPC
12003,Cumberland--Colchester,Cumberland--Colchester,80590,,LPC likely,7:30pm,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,92301,HAL,LPC safe,7:30pm,
12005,Halifax,Halifax,94610,HAL,LPC leaning,7:30pm,
12006,Halifax West,Halifax-Ouest,96255,HAL,LPC safe,7:30pm,LPC
12007,Kings--Hants,Kings--Hants,83465,,LPC safe,7:30pm,LPC
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,86498,HAL,LPC likely,7:30pm,
12009,South Shore--St. Margarets,South Shore--St. Margarets,91830,,LPC safe,7:30pm,LPC
12010,Sydney--Victoria,Sydney--Victoria,72148,,LPC leaning,7:30pm,
12011,West Nova,Nova-Ouest,82026,,LPC leaning,7:30pm,
13001,Acadie--Bathurst,Acadie--Bathurst,77791,,LPC safe,7:30pm,LPC
13002,Beauséjour,Beauséjour,82292,,LPC safe,7:30pm,GPC
13003,Fredericton,Fredericton,83303,,LPC leaning,7:30pm,
13004,Fundy Royal,Fundy Royal,79943,,CPC leaning,7:30pm,CPC
13005,Madawaska--Restigouche,Madawaska--Restigouche,60378,,LPC safe,7:30pm,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,57405,,Toss up LPC/CPC,7:30pm,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,92666,,LPC safe,7:30pm,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,65287,,CPC likely,7:30pm,CPC
13009,Saint John--Rothesay,Saint John--Rothesay,79363,,LPC likely,7:30pm,
13010,Tobique--Mactaquac,Tobique--Mactaquac,68673,,CPC likely,7:30pm,CPC
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,87787,,Toss up LPC/BQ,9:30pm,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,103491,,BQ leaning,9:30pm,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,117447,MTR,LPC safe,9:30pm,
24004,Alfred-Pellan,Alfred-Pellan,101373,MTR,LPC safe,9:30pm,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,95781,,LPC leaning,9:30pm,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,71897,,BQ leaning,9:30pm,
24007,Beauce,Beauce,108746,,CPC leaning,9:30pm,
24008,Beauport--Limoilou,Beauport--Limoilou,96029,QC,Toss up LPC/CPC/BQ,9:30pm,
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,94588,,BQ safe,9:30pm,
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,114966,,CPC safe,9:30pm,
24011,Beloeil--Chambly,Beloeil--Chambly,117343,MTR,BQ safe,9:30pm,
24012,Berthier--Maskinongé,Berthier--Maskinongé,100371,,BQ safe,9:30pm,
24013,Thérèse-De Blainville,Thérèse-De Blainville,101840,MTR,Toss up LPC/BQ,9:30pm,
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,99787,MTR,BQ likely,9:30pm,
24015,Bourassa,Bourassa,101032,MTR,LPC safe,9:30pm,
24016,Brome--Missisquoi,Brome--Missisquoi,103457,,LPC likely,9:30pm,
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,107582,MTR,LPC safe,9:30pm,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,84918,,BQ leaning,9:30pm,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,107254,QC,CPC safe,9:30pm,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,93674,,Toss up CPC/BQ,9:30pm,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,97887,MTR,LPC leaning,9:30pm,
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,81639,,CPC likely,9:30pm,
24023,Compton--Stanstead,Compton--Stanstead,105459,,LPC likely,9:30pm,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,112866,MTR,LPC safe,9:30pm,
24025,Drummond,Drummond,103397,,BQ safe,9:30pm,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,75850,,LPC leaning,9:30pm,
24027,Gatineau,Gatineau,107464,OTT,LPC safe,9:30pm,
24028,Hochelaga,Hochelaga,106496,MTR,LPC leaning,9:30pm,
24029,Honoré-Mercier,Honoré-Mercier,103592,MTR,LPC safe,9:30pm,
24030,Hull--Aylmer,Hull--Aylmer,105419,OTT,LPC safe,9:30pm,
24031,Joliette,Joliette,104136,,BQ safe,9:30pm,
24032,Jonquière,Jonquière,89818,,BQ likely,9:30pm,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,106336,MTR,BQ leaning,9:30pm,
24034,La Prairie,La Prairie,105496,MTR,Toss up LPC/BQ,9:30pm,
24035,Lac-Saint-Jean,Lac-Saint-Jean,104911,,BQ likely,9:30pm,
24036,Lac-Saint-Louis,Lac-Saint-Louis,108579,MTR,LPC safe,9:30pm,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,106766,MTR,LPC safe,9:30pm,
24038,Laurentides--Labelle,Laurentides--Labelle,113815,,BQ leaning,9:30pm,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,111835,MTR,LPC likely,9:30pm,
24040,Laval--Les Îles,Laval--Les Îles,108003,MTR,LPC safe,9:30pm,
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,106583,MTR,LPC likely,9:30pm,
24042,Lévis--Lotbinière,Lévis--Lotbinière,113528,,CPC safe,9:30pm,
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,108703,MTR,Toss up LPC/BQ,9:30pm,
24044,Louis-Hébert,Louis-Hébert,103346,QC,LPC safe,9:30pm,
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,117238,QC,CPC safe,9:30pm,
24046,Manicouagan,Manicouagan,92518,,BQ safe,9:30pm,
24047,Mégantic--L'Érable,Mégantic--L'Érable,87233,,CPC safe,9:30pm,
24048,Mirabel,Mirabel,117652,MTR,BQ safe,9:30pm,
24049,Montarville,Montarville,97811,MTR,Toss up LPC/BQ,9:30pm,
24050,Montcalm,Montcalm,107981,,BQ safe,9:30pm,
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,95527,,CPC likely,9:30pm,
24052,Mount Royal,Mont-Royal,103320,MTR,LPC safe,9:30pm,
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,104974,MTR,LPC safe,9:30pm,
24054,Outremont,Outremont,102088,MTR,LPC safe,9:30pm,
24055,Papineau,Papineau,110750,MTR,LPC safe,9:30pm,
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,108587,MTR,LPC safe,9:30pm,
24057,Pontiac,Pontiac,115531,,LPC safe,9:30pm,
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,115313,,CPC safe,9:30pm,
24059,Québec,Québec,97143,QC,LPC leaning,9:30pm,
24060,Repentigny,Repentigny,116066,MTR,BQ likely,9:30pm,
24061,Richmond--Arthabaska,Richmond--Arthabaska,107242,,CPC safe,9:30pm,
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,102346,MTR,Toss up LPC/BQ,9:30pm,
24063,Rivière-du-Nord,Rivière-du-Nord,112156,,BQ safe,9:30pm,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,110677,MTR,NDP leaning,9:30pm,
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,101750,MTR,LPC safe,9:30pm,
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,102693,,BQ likely,9:30pm,
24067,Saint-Jean,Saint-Jean,111190,MTR,BQ leaning,9:30pm,
24068,Saint-Laurent,Saint-Laurent,98828,MTR,LPC safe,9:30pm,
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,113212,MTR,LPC safe,9:30pm,
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,110264,,LPC likely,9:30pm,
24071,Salaberry--Suroît,Salaberry--Suroît,112826,MTR,BQ likely,9:30pm,
24072,Shefford,Shefford,111139,,Toss up LPC/BQ,9:30pm,
24073,Sherbrooke,Sherbrooke,111176,,LPC likely,9:30pm,
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,119227,MTR,LPC safe,9:30pm,
24075,Terrebonne,Terrebonne,111575,MTR,BQ likely,9:30pm,
24076,Trois-Rivières,Trois-Rivières,110515,,Toss up LPC/CPC/BQ,9:30pm,
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,114659,MTR,LPC safe,9:30pm,
24078,Vimy,Vimy,111867,MTR,LPC safe,9:30pm,
35001,Ajax,Ajax,119677,TOR,LPC safe,9:30pm,
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,79483,,NDP safe,9:30pm,
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill,115227,TOR,Toss up LPC/CPC,9:30pm,
35004,Barrie--Innisfil,Barrie--Innisfil,109286,,CPC likely,9:30pm,
35005,Barrie--Springwater--Oro-Medonte,Barrie--Springwater--Oro-Medonte,100788,,CPC leaning,9:30pm,
35006,Bay of Quinte,Baie de Quinte,109735,,LPC leaning,9:30pm,
35007,Beaches--East York,Beaches--East York,109468,TOR,LPC safe,9:30pm,
35008,Brampton Centre,Brampton-Centre,102270,TOR,LPC safe,9:30pm,
35009,Brampton East,Brampton-Est,122000,TOR,LPC leaning,9:30pm,
35010,Brampton North,Brampton-Nord,118180,TOR,LPC safe,9:30pm,
35011,Brampton South,Brampton-Sud,121188,TOR,LPC safe,9:30pm,
35012,Brampton West,Brampton-Ouest,130000,TOR,LPC safe,9:30pm,
35013,Brantford--Brant,Brantford--Brant,130296,,CPC leaning,9:30pm,
35014,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,107679,,CPC likely,9:30pm,
35015,Burlington,Burlington,123180,HAM,LPC safe,9:30pm,
35016,Cambridge,Cambridge,115463,KIT,LPC likely,9:30pm,
35017,Chatham-Kent--Leamington,Chatham-Kent--Leamington,109619,,CPC likely,9:30pm,
35018,Davenport,Davenport,108473,TOR,NDP leaning,9:30pm,
35019,Don Valley East,Don Valley-Est,94579,TOR,LPC safe,9:30pm,
35020,Don Valley North,Don Valley-Nord,110076,TOR,LPC likely,9:30pm,
35021,Don Valley West,Don Valley-Ouest,102508,TOR,LPC safe,9:30pm,
35022,Dufferin--Caledon,Dufferin--Caledon,128237,,CPC leaning,9:30pm,
35023,Durham,Durham,130872,TOR,CPC likely,9:30pm,
35024,Eglinton--Lawrence,Eglinton--Lawrence,114395,TOR,LPC safe,9:30pm,
35025,Elgin--Middlesex--London,Elgin--Middlesex--London,115052,,CPC safe,9:30pm,
35026,Essex,Essex,125442,,NDP leaning,9:30pm,
35027,Etobicoke Centre,Etobicoke-Centre,118022,TOR,LPC safe,9:30pm,
35028,Etobicoke--Lakeshore,Etobicoke--Lakeshore,129081,TOR,LPC safe,9:30pm,
35029,Etobicoke North,Etobicoke-Nord,118040,TOR,LPC safe,9:30pm,
35030,Flamborough--Glanbrook,Flamborough--Glanbrook,111065,HAM,Toss up LPC/CPC,9:30pm,
35031,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,109975,,LPC likely,9:30pm,
35032,Guelph,Guelph,131794,KIT,LPC safe,9:30pm,
35033,Haldimand--Norfolk,Haldimand--Norfolk,109652,,CPC safe,9:30pm,
35034,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,113956,,CPC safe,9:30pm,
35035,Hamilton Centre,Hamilton-Centre,100103,HAM,NDP safe,9:30pm,
35036,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,107848,HAM,Toss up LPC/NDP,9:30pm,
35037,Hamilton Mountain,Hamilton Mountain,104877,HAM,NDP safe,9:30pm,
35038,Hamilton West--Ancaster--Dundas,Hamilton-Ouest--Ancaster--Dundas,113024,HAM,LPC safe,9:30pm,
35039,Hastings--Lennox and Addington,Hastings--Lennox and Addington,94333,,LPC leaning,9:30pm,
35040,Huron--Bruce,Huron--Bruce,106570,,CPC likely,9:30pm,
35041,Kanata--Carleton,Kanata--Carleton,110960,OTT,LPC likely,9:30pm,
35042,Kenora,Kenora,62556,,Toss up LPC/CPC/NDP,9:30pm,
35043,King--Vaughan,King--Vaughan,131995,TOR,Toss up LPC/CPC,9:30pm,
35044,Kingston and the Islands,Kingston et les Îles,117543,,LPC likely,9:30pm,
35045,Kitchener Centre,Kitchener-Centre,105258,KIT,LPC safe,9:30pm,
35046,Kitchener--Conestoga,Kitchener--Conestoga,100709,KIT,Toss up LPC/CPC,9:30pm,
35047,Kitchener South--Hespeler,Kitchener-Sud--Hespeler,105309,KIT,LPC leaning,9:30pm,
35048,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,105331,,CPC safe,9:30pm,
35049,Lanark--Frontenac--Kingston,Lanark--Frontenac--Kingston,101630,,CPC safe,9:30pm,
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Leeds-Grenville-Thousand Islands et Rideau Lakes,100546,,CPC safe,9:30pm,
35051,London--Fanshawe,London--Fanshawe,119467,LON,NDP safe,9:30pm,
35052,London North Centre,London-Centre-Nord,125362,LON,LPC leaning,9:30pm,
35053,London West,London-Ouest,126110,LON,LPC likely,9:30pm,
35054,Markham--Stouffville,Markham--Stouffville,126064,TOR,Toss up LPC/CPC,9:30pm,
35055,Markham--Thornhill,Markham--Thornhill,99078,TOR,LPC safe,9:30pm,
35056,Markham--Unionville,Markham--Unionville,123318,TOR,CPC leaning,9:30pm,
35057,Milton,Milton,114093,HAM,LPC likely,9:30pm,
35058,Mississauga Centre,Mississauga-Centre,124849,TOR,LPC safe,9:30pm,
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville,120205,TOR,LPC safe,9:30pm,
